2024-12-26 01:05:29,375 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:05:42,836 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:05:42,837 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:05:42,837 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:07:07,039 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:07:07,040 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:07:07,041 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:12:12,016 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:12:12,017 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:12:12,020 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:14:11,878 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:14:11,880 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:14:11,881 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:21:40,097 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:21:40,099 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:21:40,100 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:23:13,645 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:23:13,647 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:23:13,648 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:23:25,917 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:23:25,918 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:23:25,919 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:23:40,329 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:23:40,331 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:23:40,332 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:25:51,692 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:25:51,692 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:25:51,693 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:25:51,693 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:25:51,693 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:25:51,694 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.1, diff=17179869184
